model, road_block, max_speed_slow, max_speed_fast, fast_car_ratio, density, total_all_cars_distance, total_slow_cars_distance, total_fast_cars_distance, worst_case_distance_slow_cars, worst_cast_distance_fast_cars, best_case_distance_slow_car, best_case_distance_fast_car,num_slow_cars,num_fast_cars,global_speed_rule,repetition,slack,distance_look_ahead,max_speed_slow_car
NS,1,6,8,0.25,0.05,1053954,772413,281541,20088,22894,20549,24489,38,12,false,0,3,7,6
NS,1,6,8,0.25,0.05,1050021,770639,279382,20018,22989,20503,23891,38,12,false,1,3,7,6
NS,1,6,8,0.25,0.05,1049780,770794,278986,20051,22098,20544,23904,38,12,false,2,3,7,6
NS,1,6,8,0.25,0.05,1046183,768135,278048,19982,22594,20359,23874,38,12,false,3,3,7,6
NS,1,6,8,0.25,0.05,1053817,771569,282248,20054,22762,20507,23982,38,12,false,4,3,7,6
NS,0,6,8,0.25,0.05,1044429,785831,258598,20618,21173,20742,21791,38,12,false,0,3,7,6
NS,0,6,8,0.25,0.05,1050323,785731,264592,20601,21868,20760,22319,38,12,false,1,3,7,6
NS,0,6,8,0.25,0.05,1043334,785476,257858,20547,21123,20745,21886,38,12,false,2,3,7,6
NS,0,6,8,0.25,0.05,1049958,785929,264029,20597,21535,20759,22550,38,12,false,3,3,7,6
NS,0,6,8,0.25,0.05,1049316,785253,264063,20589,21712,20752,22428,38,12,false,4,3,7,6
NS,1,6,11,0.25,0.05,1051932,767895,284037,19905,23142,20330,24218,38,12,false,0,3,7,6
NS,1,6,11,0.25,0.05,1044975,767573,277402,19983,22237,20401,23898,38,12,false,1,3,7,6
NS,1,6,11,0.25,0.05,1051418,769246,282172,20076,22663,20373,24567,38,12,false,2,3,7,6
NS,1,6,11,0.25,0.05,1060044,769777,290267,19922,23304,20484,25023,38,12,false,3,3,7,6
NS,1,6,11,0.25,0.05,1041727,766214,275513,19792,22334,20353,23852,38,12,false,4,3,7,6
NS,0,6,11,0.25,0.05,1045077,786124,258953,20601,21190,20764,21930,38,12,false,0,3,7,6
NS,0,6,11,0.25,0.05,1044805,785944,258861,20628,21170,20729,21963,38,12,false,1,3,7,6
NS,0,6,11,0.25,0.05,1046023,786014,260009,20631,21344,20749,21969,38,12,false,2,3,7,6
NS,0,6,11,0.25,0.05,1038931,785630,253301,20593,20700,20720,21612,38,12,false,3,3,7,6
NS,0,6,11,0.25,0.05,1050345,785946,264399,20639,21566,20746,22599,38,12,false,4,3,7,6
NS,1,9,11,0.25,0.05,1546184,1173569,372615,30276,30668,31110,31362,38,12,false,0,3,7,9
NS,1,9,11,0.25,0.05,1455774,1101249,354525,28360,28626,29414,29965,38,12,false,1,3,7,9
NS,1,9,11,0.25,0.05,1536163,1164953,371210,30320,30515,30989,31283,38,12,false,2,3,7,9
NS,1,9,11,0.25,0.05,1456383,1100630,355753,28000,29316,29403,29974,38,12,false,3,3,7,9
NS,1,9,11,0.25,0.05,1454505,1101224,353281,28568,28798,29273,29807,38,12,false,4,3,7,9
NS,0,9,11,0.25,0.05,1572065,1194213,377852,31334,31400,31500,31600,38,12,false,0,3,7,9
NS,0,9,11,0.25,0.05,1572406,1194385,378021,31288,31410,31509,31637,38,12,false,1,3,7,9
NS,0,9,11,0.25,0.05,1573302,1194489,378813,31358,31443,31504,31768,38,12,false,2,3,7,9
NS,0,9,11,0.25,0.05,1573253,1195019,378234,31400,31449,31517,31650,38,12,false,3,3,7,9
NS,0,9,11,0.25,0.05,1573225,1194466,378759,31329,31462,31507,31688,38,12,false,4,3,7,9
NS,1,3,4,0.5,0.05,549026,246513,302513,9795,11605,9933,12626,25,25,false,0,3,7,3
NS,1,3,4,0.5,0.05,560815,246715,314100,9792,12026,9933,12880,25,25,false,1,3,7,3
NS,1,3,4,0.5,0.05,555645,246399,309246,9775,11944,9932,12883,25,25,false,2,3,7,3
NS,1,3,4,0.5,0.05,562158,246596,315562,9766,12103,9937,12983,25,25,false,3,3,7,3
NS,1,3,4,0.5,0.05,548334,244638,303696,9676,11728,9834,12475,25,25,false,4,3,7,3
NS,0,3,4,0.5,0.05,542625,247116,295509,9820,11279,9928,12520,25,25,false,0,3,7,3
NS,0,3,4,0.5,0.05,553591,247049,306542,9829,11907,9944,12686,25,25,false,1,3,7,3
NS,0,3,4,0.5,0.05,546986,246639,300347,9772,11718,9925,12548,25,25,false,2,3,7,3
NS,0,3,4,0.5,0.05,557061,247054,310007,9827,11847,9941,13019,25,25,false,3,3,7,3
NS,0,3,4,0.5,0.05,550194,247158,303036,9843,11742,9947,12570,25,25,false,4,3,7,3
NS,1,3,8,0.5,0.05,585506,245751,339755,9633,12709,9945,14662,25,25,false,0,3,7,3
NS,1,3,8,0.5,0.05,613466,244923,368543,9611,13039,9921,15530,25,25,false,1,3,7,3
NS,1,3,8,0.5,0.05,586497,244993,341504,9614,12866,9918,14586,25,25,false,2,3,7,3
NS,1,3,8,0.5,0.05,667156,245246,421910,9534,15629,9920,18114,25,25,false,3,3,7,3
NS,1,3,8,0.5,0.05,588848,245498,343350,9532,12840,9922,15048,25,25,false,4,3,7,3
NS,0,3,8,0.5,0.05,560337,247145,313192,9840,11447,9929,13476,25,25,false,0,3,7,3
NS,0,3,8,0.5,0.05,570716,246818,323898,9801,11987,9941,14510,25,25,false,1,3,7,3
NS,0,3,8,0.5,0.05,549853,247281,302572,9831,11405,9952,12883,25,25,false,2,3,7,3
NS,0,3,8,0.5,0.05,542643,247075,295568,9813,10772,9948,12957,25,25,false,3,3,7,3
NS,0,3,8,0.5,0.05,561133,247117,314016,9817,11816,9954,13293,25,25,false,4,3,7,3
NS,1,3,11,0.5,0.05,577609,244991,332618,9584,12201,9929,15104,25,25,false,0,3,7,3
NS,1,3,11,0.5,0.05,575651,243725,331926,9387,11693,9940,14304,25,25,false,1,3,7,3
NS,1,3,11,0.5,0.05,577144,243669,333475,9578,12631,9839,14272,25,25,false,2,3,7,3
NS,1,3,11,0.5,0.05,597439,245374,352065,9609,12662,9915,15039,25,25,false,3,3,7,3
NS,1,3,11,0.5,0.05,596975,245473,351502,9593,13277,9928,15370,25,25,false,4,3,7,3
NS,0,3,11,0.5,0.05,567781,247179,320602,9801,12340,9932,14079,25,25,false,0,3,7,3
NS,0,3,11,0.5,0.05,523202,246925,276277,9749,10519,9937,11754,25,25,false,1,3,7,3
NS,0,3,11,0.5,0.05,532753,246809,285944,9801,10861,9923,11799,25,25,false,2,3,7,3
NS,0,3,11,0.5,0.05,540277,246815,293462,9811,11240,9937,12797,25,25,false,3,3,7,3
NS,0,3,11,0.5,0.05,545361,247281,298080,9808,11015,9996,12824,25,25,false,4,3,7,3
NS,1,6,8,0.5,0.05,1095382,501696,593686,19269,22512,20340,24655,25,25,false,0,3,7,6
NS,1,6,8,0.5,0.05,1109059,502489,606570,19651,23414,20451,25146,25,25,false,1,3,7,6
NS,1,6,8,0.5,0.05,1096799,502935,593864,19734,22546,20330,24535,25,25,false,2,3,7,6
NS,1,6,8,0.5,0.05,1111930,504151,607779,19853,23521,20376,25197,25,25,false,3,3,7,6
NS,1,6,8,0.5,0.05,1099602,502879,596723,19649,23151,20401,24531,25,25,false,4,3,7,6
NS,0,6,8,0.5,0.05,1066755,515951,550804,20484,21489,20739,22571,25,25,false,0,3,7,6
NS,0,6,8,0.5,0.05,1070891,516560,554331,20526,21185,20730,23113,25,25,false,1,3,7,6
NS,0,6,8,0.5,0.05,1091570,517021,574549,20593,22342,20762,23587,25,25,false,2,3,7,6
NS,0,6,8,0.5,0.05,1069360,516539,552821,20590,21676,20733,22711,25,25,false,3,3,7,6
NS,0,6,8,0.5,0.05,1079852,516653,563199,20581,21483,20723,23500,25,25,false,4,3,7,6
NS,1,6,11,0.5,0.05,1119925,496966,622959,19522,23839,20227,25976,25,25,false,0,3,7,6
NS,1,6,11,0.5,0.05,1102518,497785,604733,19531,23342,20244,24985,25,25,false,1,3,7,6
NS,1,6,11,0.5,0.05,1128900,496436,632464,19194,24052,20390,26432,25,25,false,2,3,7,6
NS,1,6,11,0.5,0.05,1123279,498814,624465,19487,23708,20324,27065,25,25,false,3,3,7,6
NS,1,6,11,0.5,0.05,1112628,498976,613652,19368,23748,20322,25404,25,25,false,4,3,7,6
NS,0,6,11,0.5,0.05,1073848,516789,557059,20591,21208,20723,22877,25,25,false,0,3,7,6
NS,0,6,11,0.5,0.05,1062105,516408,545697,20542,21059,20721,22442,25,25,false,1,3,7,6
NS,0,6,11,0.5,0.05,1062910,516514,546396,20561,21430,20747,22561,25,25,false,2,3,7,6
NS,0,6,11,0.5,0.05,1065913,516953,548960,20548,21095,20742,22672,25,25,false,3,3,7,6
NS,0,6,11,0.5,0.05,1054185,516787,537398,20596,20973,20730,21864,25,25,false,4,3,7,6
NS,1,9,11,0.5,0.05,1548699,768588,780111,30474,30578,30985,31629,25,25,false,0,3,7,9
NS,1,9,11,0.5,0.05,1545770,764742,781028,30195,30648,31054,31780,25,25,false,1,3,7,9
NS,1,9,11,0.5,0.05,1456185,715671,740514,27526,28707,29277,30201,25,25,false,2,3,7,9
NS,1,9,11,0.5,0.05,1471349,724118,747231,28289,29399,29327,30609,25,25,false,3,3,7,9
NS,1,9,11,0.5,0.05,1468742,724898,743844,28588,29202,29389,30127,25,25,false,4,3,7,9
NS,0,9,11,0.5,0.05,1579061,786354,792707,31381,31454,31487,32080,25,25,false,0,3,7,9
NS,0,9,11,0.5,0.05,1578225,786599,791626,31412,31464,31514,32177,25,25,false,1,3,7,9
NS,0,9,11,0.5,0.05,1580517,785815,794702,31353,31451,31502,32571,25,25,false,2,3,7,9
NS,0,9,11,0.5,0.05,1578726,786299,792427,31342,31497,31510,32042,25,25,false,3,3,7,9
NS,0,9,11,0.5,0.05,1576403,786300,790103,31387,31480,31505,31792,25,25,false,4,3,7,9
NS,1,3,4,0.75,0.05,613747,128267,485480,9797,12797,9898,13339,13,37,false,0,3,7,3
NS,1,3,4,0.75,0.05,603642,127212,476430,9727,12607,9841,13115,13,37,false,1,3,7,3
NS,1,3,4,0.75,0.05,598456,127255,471201,9681,12254,9858,13104,13,37,false,2,3,7,3
NS,1,3,4,0.75,0.05,611155,128497,482658,9786,12609,9924,13338,13,37,false,3,3,7,3
NS,1,3,4,0.75,0.05,598583,127251,471332,9713,12352,9855,13125,13,37,false,4,3,7,3
NS,0,3,4,0.75,0.05,621209,128473,492736,9849,12986,9933,13458,13,37,false,0,3,7,3
NS,0,3,4,0.75,0.05,603518,128703,474815,9821,12460,9935,13176,13,37,false,1,3,7,3
NS,0,3,4,0.75,0.05,605720,128391,477329,9838,12635,9922,13117,13,37,false,2,3,7,3
NS,0,3,4,0.75,0.05,624338,128659,495679,9870,13221,9935,13522,13,37,false,3,3,7,3
NS,0,3,4,0.75,0.05,606278,128612,477666,9846,12524,9959,13234,13,37,false,4,3,7,3
NS,1,3,8,0.75,0.05,764700,126278,638422,8979,15848,9896,18425,13,37,false,0,3,7,3
NS,1,3,8,0.75,0.05,745283,126297,618986,9361,15406,9897,17962,13,37,false,1,3,7,3
NS,1,3,8,0.75,0.05,938026,126956,811070,9605,20651,9904,22730,13,37,false,2,3,7,3
NS,1,3,8,0.75,0.05,885971,127845,758126,9745,18373,9887,21500,13,37,false,3,3,7,3
NS,1,3,8,0.75,0.05,862570,126270,736300,9371,18409,9897,21204,13,37,false,4,3,7,3
NS,0,3,8,0.75,0.05,825076,128513,696563,9758,17949,9945,19647,13,37,false,0,3,7,3
NS,0,3,8,0.75,0.05,766219,128622,637597,9778,16179,9933,18345,13,37,false,1,3,7,3
NS,0,3,8,0.75,0.05,739117,128408,610709,9780,14187,9930,17989,13,37,false,2,3,7,3
NS,0,3,8,0.75,0.05,647602,128357,519245,9749,12405,9949,15708,13,37,false,3,3,7,3
NS,0,3,8,0.75,0.05,625410,128435,496975,9787,12230,9935,14117,13,37,false,4,3,7,3
NS,1,3,11,0.75,0.05,1046290,127175,919115,9539,23942,9927,25788,13,37,false,0,3,7,3
NS,1,3,11,0.75,0.05,957222,127360,829862,9563,20974,9882,23685,13,37,false,1,3,7,3
NS,1,3,11,0.75,0.05,868934,126397,742537,9465,18071,9881,21347,13,37,false,2,3,7,3
NS,1,3,11,0.75,0.05,802457,126515,675942,8962,16378,9922,19561,13,37,false,3,3,7,3
NS,1,3,11,0.75,0.05,755777,126487,629290,9197,15270,9886,18720,13,37,false,4,3,7,3
NS,0,3,11,0.75,0.05,598242,128524,469718,9826,11635,9946,13948,13,37,false,0,3,7,3
NS,0,3,11,0.75,0.05,657782,128757,529025,9866,12945,9954,15602,13,37,false,1,3,7,3
NS,0,3,11,0.75,0.05,544392,128562,415830,9816,10779,9929,11709,13,37,false,2,3,7,3
NS,0,3,11,0.75,0.05,651168,128444,522724,9779,12829,9945,15405,13,37,false,3,3,7,3
NS,0,3,11,0.75,0.05,609920,128516,481404,9781,12282,9925,13927,13,37,false,4,3,7,3
NS,1,6,8,0.75,0.05,1208291,259342,948949,19247,24805,20155,26074,13,37,false,0,3,7,6
NS,1,6,8,0.75,0.05,1202960,259576,943384,19444,24185,20247,26139,13,37,false,1,3,7,6
NS,1,6,8,0.75,0.05,1184031,258078,925953,19161,23847,20271,25983,13,37,false,2,3,7,6
NS,1,6,8,0.75,0.05,1211232,263138,948094,20061,24752,20408,26341,13,37,false,3,3,7,6
NS,1,6,8,0.75,0.05,1200034,258409,941625,19260,24433,20251,26165,13,37,false,4,3,7,6
NS,0,6,8,0.75,0.05,1134466,268624,865842,20584,22916,20711,23896,13,37,false,0,3,7,6
NS,0,6,8,0.75,0.05,1145897,267903,877994,20481,22544,20704,24668,13,37,false,1,3,7,6
NS,0,6,8,0.75,0.05,1220205,269026,951179,20663,24713,20725,26450,13,37,false,2,3,7,6
NS,0,6,8,0.75,0.05,1156075,268964,887111,20570,23044,20756,24590,13,37,false,3,3,7,6
NS,0,6,8,0.75,0.05,1182549,268396,914153,20553,23918,20709,25600,13,37,false,4,3,7,6
NS,1,6,11,0.75,0.05,1298245,252799,1045446,18876,25573,20100,30017,13,37,false,0,3,7,6
